# CVS $Revision: $ $Author: $ -- Mon Jul 20 11:53:44 2015 -- reformated by PCGen PrettyLST v6.05.01

# Deity Name	Domains									Deity Weapon				Align		Source Page		Holy Item									Pantheon
Aluvan		DOMAINS:Ghost,Good,Protection,Repose|PREALIGN:	DEITYWEAP:Sword (Short)			ALIGN:NG	SOURCEPAGE:p.79	FACT:Symbol|Horizontal gold hand on a white circle			FACTSET:Pantheon|Manifest
Chaniud		DOMAINS:Healing,Knowledge,Law|PREALIGN:			DEITYWEAP:Longsword			ALIGN:LN	SOURCEPAGE:p.79	FACT:Symbol|Three horizontal lines below an open circle		FACTSET:Pantheon|Manifest
Dracanish		DOMAINS:Law,Protection,Repose|PREALIGN:			DEITYWEAP:Scimitar			ALIGN:LN	SOURCEPAGE:p.79	FACT:Symbol|profile of a bronze skinned man on a black circle	FACTSET:Pantheon|Manifest
Durann		DOMAINS:Good,Healing,Law|PREALIGN:			DEITYWEAP:Warhammer			ALIGN:LG	SOURCEPAGE:p.79	FACT:Symbol|Shining horizontal hammer					FACTSET:Pantheon|Manifest
Eanius		DOMAINS:Air,Good,Healing|PREALIGN:			DEITYWEAP:Quarterstaff			ALIGN:NG	SOURCEPAGE:p.79	FACT:Symbol|Eye on a bird's wing						FACTSET:Pantheon|Manifest
Galaedros		DOMAINS:Animal,Earth,Plant|PREALIGN:		DEITYWEAP:Quarterstaff			ALIGN:TN	SOURCEPAGE:p.79	FACT:Symbol|A tree with sad human eyes					FACTSET:Pantheon|Manifest
Khostren		DOMAINS:Destruction,Evil,Trickery|PREALIGN:		DEITYWEAP:Gauntlet (Spiked)		ALIGN:NE	SOURCEPAGE:p.79	FACT:Symbol|A black fly							FACTSET:Pantheon|Manifest
Nessek		DOMAINS:Destruction,Fire,Magic|PREALIGN:	DEITYWEAP:Dagger				ALIGN:TN	SOURCEPAGE:p.79	FACT:Symbol|A crown of flame							FACTSET:Pantheon|Manifest
Orcus			DOMAINS:Chaos,Death,Evil,Undeath|PREALIGN:		DEITYWEAP:Mace (Heavy)|Mace (Light)	ALIGN:CE	SOURCEPAGE:p.79	FACT:Symbol|Mace with a skull as the head				FACTSET:Pantheon|Manifest
Phaant		DOMAINS:Evil,Law,Luck|PREALIGN:				DEITYWEAP:Greataxe			ALIGN:LE	SOURCEPAGE:p.79	FACT:Symbol|Three overlapping diamonds					FACTSET:Pantheon|Manifest
Soggelos		DOMAINS:Chaos,Good,Water|PREALIGN:			DEITYWEAP:Trident				ALIGN:CG	SOURCEPAGE:p.79	FACT:Symbol|A blue octopus							FACTSET:Pantheon|Manifest
Tephaneron		DOMAINS:Chaos,Luck,Strength,War|PREALIGN:		DEITYWEAP:Battleaxe			ALIGN:CN	SOURCEPAGE:p.79	FACT:Symbol|A battleaxe with four triangles on the blade		FACTSET:Pantheon|Manifest
Uhanam		DOMAINS:Knowledge,Law,Magic|PREALIGN:			DEITYWEAP:Flail				ALIGN:LN	SOURCEPAGE:p.79	FACT:Symbol|A woodcarving knife on a scroll				FACTSET:Pantheon|Manifest
Wyst			DOMAINS:Chaos,Good,Protection,Travel|PREALIGN:	DEITYWEAP:Shortspear			ALIGN:CG	SOURCEPAGE:p.79	FACT:Symbol|A compass rose witha bootprint at the center		FACTSET:Pantheon|Manifest
