# CVS $Revision: $ $Author: $ -- Thu Aug  7 12:47:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)


# Deity Name	Domains								Description of Deity/Title	Holy Item																	Deity Weapon			Alignment	Pantheon				Source Page		Type
Ra (RL)		DOMAINS:Air,Curse,Good,Law,Sun				DESC:Ra (M)				SYMBOL:an Ankh superimposed on a solar disc.											DEITYWEAP:Falchion		ALIGN:LG	PANTHEON:Ravenloft|Akiri	SOURCEPAGE:p.	TYPE:Greater
Osiris (RL)		DOMAINS:Good,Protection,Repose RL,Sun			DESC:Osiris (F)			SYMBOL:crossed flail and staff.													DEITYWEAP:Flail			ALIGN:NG	PANTHEON:Ravenloft|Akiri	SOURCEPAGE:p.	TYPE:Greater
Set (RL)		DOMAINS:Curse,Death,Evil,Trickery				DESC:Set (M)			SYMBOL:a coiled cobra.															DEITYWEAP:Sword (Short)		ALIGN:CE	PANTHEON:Ravenloft|Akiri	SOURCEPAGE:p.	TYPE:Greater
Belenus		DOMAINS:Fire,Good,Sun						DESC:Belenus (M)			SYMBOL:celtic-style golden sunburst.												DEITYWEAP:Sickle			ALIGN:NG	PANTHEON:Ravenloft		SOURCEPAGE:p.	TYPE:Greater
Eternal Order	DOMAINS:Death,Evil,Knowledge,Repose RL			DESC:The Eternal Order		SYMBOL:a hooded human skull.														DEITYWEAP:Scythe			ALIGN:NE	PANTHEON:Ravenloft		SOURCEPAGE:p.	TYPE:Greater
Ezra			DOMAINS:Curse,Destruction,Healing,Law,Mist,Protection	DESC:Ezra (F)			SYMBOL:a silver longsword superimposed on an alabaster kite shield and adorned with a spring of belladonna.	DEITYWEAP:Longsword		ALIGN:LN	PANTHEON:Ravenloft		SOURCEPAGE:p.	TYPE:Greater
Hala			DOMAINS:Healing,Magic,Plant					DESC:Hala (F)			SYMBOL:a ring formed by thitenen serpents, each devouring the tail of the one before it.				DEITYWEAP:Dagger			ALIGN:TN	PANTHEON:Ravenloft		SOURCEPAGE:p.	TYPE:Greater
Kali			DOMAINS:Destruction,Evil,Healing,Trickery			DESC:Kali (F)			SYMBOL:skulls strung together on a leather necklace.										DEITYWEAP:Sap			ALIGN:CE	PANTHEON:Ravenloft|Rajian	SOURCEPAGE:p.	TYPE:Greater
Lawgiver		DOMAINS:Curse,Death,Evil,Law,War				DESC:The Lawgiver (M)		SYMBOL:a stout iron spear, bound in coils of bronze.										DEITYWEAP:Whip			ALIGN:LE	PANTHEON:Ravenloft		SOURCEPAGE:p.	TYPE:Greater
Morninglord		DOMAINS:Good,Luck,Protection,Sun				DESC:The Morninglord (M)	SYMBOL:a simple, rose-tinted disc of gold.											DEITYWEAP:Halfspear		ALIGN:CG	PANTHEON:Ravenloft		SOURCEPAGE:p.	TYPE:Greater
Tvashtri		DOMAINS:Chaos,Knowledge,Magic,Plant				DESC:Tvashtri (M)			SYMBOL:a pinwheel fan.															DEITYWEAP:Dagger (Punching)	ALIGN:CG	PANTHEON:Ravenloft		SOURCEPAGE:p.	TYPE:Greater
Wolf God		DOMAINS:Animal,Strength,Trickery				DESC:The Wolf God (M)		SYMBOL:a wolf's head																				ALIGN:CE	PANTHEON:Ravenloft		SOURCEPAGE:p.	TYPE:Greater
Zhakata		DOMAINS:Destruction,Earth,Fire,Protection			DESC:Zhakata (M)			SYMBOL:small reliquiary containing human finger bones.									DEITYWEAP:Flail			ALIGN:LE	PANTHEON:Ravenloft		SOURCEPAGE:p.	TYPE:Greater
